income,age,zip_cd,num_of_disabilities,num _activities
2,4,80005,1,1
6,8,15131,2,1
4,4,8876,2,1
0,3,15213,1,1
1,8,8822,5,1
3,4,99502,1,1
4,5,99504,2,1
3,4,99503,1,1
3,3,48317,2,1
3,3,90670,1,1
3,3,98122,2,1
0,8,65203,2,1
3,7,58533,1,1
3,7,60614,1,1
3,7,37029,1,1
4,6,85042,1,1
4,7,16509,1,1
1,3,15642,2,1
2,6,65203,2,1
6,8,15010,2,1
0,7,15701,1,1
2,8,15668,1,1
4,7,15243,1,1
6,7,15212,1,1
0,7,16101,2,1
4,7,15478,1,1
6,7,60502,1,1
3,3,60901,1,1
6,7,60502,1,1
2,6,60644,2,1
5,6,60453,4,1
0,3,60640,1,1
5,4,60120,1,1
0,6,61371,3,1
0,7,85281,1,1
4,7,15670,4,1
3,6,97470,1,1
4,7,15122,1,1
0,7,55313,1,1
2,3,14580,4,1
0,5,8901,1,1
0,3,37203,1,1
4,3,99503,1,1
3,4,99501,2,1
4,5,99502,1,1
3,4,99502,2,1
3,3,99501,1,1
3,4,11701,1,1
4,3,14094,1,1
2,7,78628,1,1
2,5,7514,1,1
0,3,8831,2,1
4,7,73507,1,1
3,5,8837,2,2
4,3,99501,2,2
4,3,99502,1,2
3,3,99504,1,2
4,4,99504,1,2
3,4,99503,2,2
4,3,99502,1,2
4,3,99503,1,2
4,3,99503,2,2
5,3,99501,1,2
4,4,68967,2,2
4,4,61761,2,2
5,4,90001,1,2
4,8,76541,2,2
6,7,15238,1,2
5,8,7461,1,2
6,8,85281,4,2
4,7,92685,3,1
6,7,92526,1,1
2,3,90014,1,1
1,2,8055,4,1
1,5,7044,2,1
0,2,35242,1,1
0,6,7028,1,1
3,4,45014,1,1
4,7,15005,1,1
0,2,7001,1,1
6,5,61874,1,1
5,6,0,2,1
4,5,60140,1,1
0,6,60012,1,1
4,5,60056,2,1
4,3,28144,1,1
1,2,21217,1,2
3,6,7054,3,2
0,7,21214,1,2
6,6,15017,2,2
3,4,22090,1,2
0,6,7631,3,2
6,6,92037,2,2
3,3,60505,1,2
2,3,15221,2,2
3,4,29356,2,2
5,2,6516,1,3
3,7,63010,3,3
0,2,7070,1,3
0,2,6351,1,3
5,2,60074,1,3
0,2,54115,1,3
4,4,60651,1,3
5,7,90019,3,1
0,8,98043,4,1
0,6,18630,1,2
2,4,30165,1,2
4,3,79414,2,2
3,3,60563,1,2
0,6,6492,1,2
5,6,22041,1,2
3,2,91354,1,2
3,8,15147,1,2
0,7,29585,1,2
2,7,15236,1,2
0,8,15146,1,2
2,7,15084,1,2
4,7,16686,1,2
3,8,15201,1,2
2,8,15120,3,2
1,7,15212,1,2
6,8,15232,1,2
6,7,60101,1,2
0,8,85281,1,2
3,5,53142,2,2
6,6,24185,3,2
5,7,15101,2,2
0,7,16105,4,2
3,3,28633,2,2
3,3,20170,1,2
3,3,29356,2,2
3,4,11214,2,2
4,3,55411,2,2
1,5,32312,2,2
6,5,16635,4,3
0,5,80129,4,3
3,7,7405,1,3
4,4,23606,1,3
1,4,98367,3,3
5,7,92672,1,3
5,8,67002,1,3
6,7,92672,1,3
0,6,20746,1,3
4,7,92019,4,3
2,7,14710,2,3
6,8,15017,1,3
4,8,15217,1,3
0,8,85281,1,3
4,8,85281,3,3
5,4,60618,1,3
4,2,60478,1,3
6,4,60442,4,3
3,8,85281,1,3
0,6,7006,1,2
0,6,7601,1,3
4,4,13350,2,3
3,5,11377,1,3
3,7,15219,1,3
6,5,60404,1,3
6,4,29730,1,3
1,5,28205,1,3
3,3,94103,2,4
6,4,29907,1,4
3,4,40046,3,4
0,5,15074,3,1
1,6,28715,2,1
1,3,30518,1,1
0,7,11377,1,1
0,2,11758,1,1
2,3,87111,1,1
1,2,32601,3,2
2,8,7024,1,2
3,3,92614,2,2
3,3,38339,2,2
3,4,19968,1,2
3,6,8879,3,2
0,7,85281,1,2
3,4,28348,1,2
4,7,60089,1,2
2,3,28334,2,2
2,4,27601,2,2
2,3,20170,1,2
3,3,17057,1,2
3,3,31060,2,2
3,3,24153,2,2
1,3,98198,2,2
2,3,95758,2,2
4,4,33137,1,3
4,8,15213,2,3
4,4,60608,4,3
3,3,21144,1,2
4,4,17057,2,2
4,4,27513,2,2
2,3,33138,1,2
3,3,28206,1,2
4,4,90021,1,2
4,6,35473,1,2
4,7,91504,1,3
3,4,91789,1,3
6,4,8822,1,3
5,7,60457,1,3
2,5,15237,1,3
0,7,29585,4,3
1,2,75228,3,3
0,8,15232,4,3
4,4,10001,2,3
3,4,13501,2,3
0,5,7016,3,4
2,4,80643,1,2
0,7,15232,1,2
6,6,90056,4,3
6,6,97701,4,3
3,7,73132,1,3
4,7,85301,1,3
0,7,15101,2,3
6,8,51566,1,3
2,2,11230,3,3
0,8,16066,3,3
4,4,60532,1,3
4,5,46979,4,3
2,6,92544,1,3
2,3,33015,1,3
3,7,37208,1,3
4,7,55401,1,3
6,8,7640,2,4
0,4,8886,5,4
0,5,7461,3,4
4,7,16701,1,4
2,7,8723,3,4
6,3,44406,1,4
0,8,15232,1,4
0,7,15237,1,4
5,7,98144,1,4
3,8,15139,3,4
5,7,60620,2,4
1,6,93703,5,4
6,7,8550,2,3
1,6,7111,3,4
1,3,7032,1,4
6,7,7928,1,4
3,4,5401,3,5
5,6,15601,1,5
2,6,15217,1,5
0,1,11717,2,5
3,3,17112,2,1
0,4,8542,1,1
4,5,28451,2,1
4,4,93013,1,1
3,2,94118,1,1
0,5,15227,1,1
6,4,15237,1,1
3,6,15209,1,1
5,7,60016,1,1
4,4,60007,1,1
0,7,60402,1,1
4,5,19107,1,2
6,7,53575,3,2
5,7,15122,1,2
4,6,33908,1,2
6,7,92069,2,2
0,8,15668,1,2
6,7,15217,1,2
5,8,15206,1,2
0,7,15210,1,2
6,8,85281,1,2
6,7,85281,1,2
2,2,60623,1,2
6,7,15232,2,2
3,5,30013,2,2
0,2,19810,1,2
3,5,16510,2,2
3,4,32301,1,2
4,3,32713,2,2
3,3,30043,1,2
5,7,60178,3,2
3,6,8077,5,3
3,3,10451,1,3
2,3,11572,1,3
0,8,15213,1,3
5,8,15116,1,3
6,7,85281,1,3
0,7,85281,1,3
0,7,53005,1,3
5,8,85281,1,3
6,6,85282,4,3
3,4,29356,1,2
3,3,7834,2,3
5,4,15042,1,3
6,6,15207,2,3
3,2,55112,5,3
5,5,8501,3,3
3,4,2906,2,2
6,7,15238,2,2
6,8,85281,2,2
6,8,85281,2,2
0,6,13118,1,3
2,6,33304,1,3
6,6,75206,1,3
2,8,15120,1,3
4,7,95722,1,3
1,7,50014,2,3
2,8,15120,2,3
4,7,43209,1,3
3,6,15212,1,3
5,6,7726,1,3
6,4,33141,1,3
1,6,53546,1,3
0,3,60074,3,3
2,8,15211,2,3
6,8,85281,1,3
0,6,92154,2,3
5,7,97420,2,3
3,7,27406,1,3
4,6,46231,2,3
6,4,98126,1,4
3,6,7603,1,4
5,4,8817,1,4
1,4,8075,2,4
5,5,30011,1,4
3,7,62234,3,4
5,5,91911,1,4
3,3,32822,1,4
3,3,11702,1,4
3,6,15212,1,4
0,7,15213,2,4
0,7,16105,3,4
3,6,95387,1,4
5,4,29456,3,4
5,7,15221,1,4
0,8,15642,2,4
0,8,15015,1,4
3,7,15215,1,4
5,7,15237,1,4
3,8,15211,2,4
5,7,16601,2,4
5,8,85281,1,4
4,8,85281,4,4
6,8,85281,1,4
6,8,85281,1,4
6,7,85281,1,4
6,8,85281,1,4
4,3,60491,1,4
4,5,60013,2,4
6,8,85281,1,4
6,8,85281,1,4
6,8,85281,1,4
5,4,12206,1,3
4,6,8205,2,3
4,6,85282,2,4
4,7,15221,1,4
0,5,8540,3,5
4,6,8817,1,5
0,5,80918,2,5
3,4,7631,1,5
1,2,15001,2,5
0,6,18411,2,5
1,4,15222,2,5
3,5,8882,2,5
1,4,19565,2,5
0,6,60169,1,5
6,3,35211,1,5
5,3,33458,2,2
6,5,94582,3,2
3,7,53036,4,2
3,7,84401,1,2
5,4,15235,1,2
6,7,43221,1,2
6,7,8751,1,3
6,6,66047,2,3
0,5,92301,3,3
4,5,20745,1,3
4,5,19063,1,3
4,4,11201,2,3
3,7,15224,1,3
0,7,15241,1,3
6,7,60618,4,3
4,5,60126,4,3
4,5,16693,5,3
4,7,91367,1,3
3,3,11373,3,3
4,7,80016,1,3
3,4,83301,1,4
4,7,8088,1,4
3,7,8083,2,4
4,7,3104,5,4
5,4,11105,1,4
4,4,10701,1,4
4,4,48183,2,4
3,3,95101,1,4
3,6,75773,1,4
6,6,13850,3,4
6,6,13850,3,4
5,7,17728,2,4
5,7,85281,1,4
0,7,54476,1,4
0,6,92154,4,4
0,8,55313,1,4
4,3,55113,5,4
3,3,10038,1,3
0,6,85083,5,4
4,3,11234,1,4
5,4,55343,1,4
4,4,8876,2,4
6,5,94117,1,4
6,7,7762,2,4
4,6,8734,1,5
0,3,94519,1,5
1,4,8560,2,5
6,1,8759,1,5
6,8,85281,1,5
6,2,60192,1,5
0,2,80017,5,5
6,7,17013,2,3
2,7,13323,1,3
0,5,60657,1,3
0,7,50702,2,3
3,6,8751,1,4
3,7,92532,1,4
3,6,17042,1,4
3,7,47720,3,4
0,6,53132,3,4
3,7,35593,1,4
6,7,78753,2,4
5,8,80247,1,4
1,6,15212,2,4
1,5,65201,2,4
0,5,8334,1,4
2,7,7018,2,4
1,5,7018,2,4
3,4,8882,1,4
0,5,16823,3,4
4,6,85028,1,4
4,7,15143,1,4
4,7,15217,1,4
5,7,15205,4,4
4,7,15206,1,4
3,8,15217,1,4
4,7,15220,1,4
6,5,50023,3,4
5,7,60178,2,4
2,3,60056,2,4
0,7,61081,1,4
2,3,60016,1,4
4,7,60102,1,4
4,8,60620,3,4
0,7,85281,1,4
1,8,93591,1,4
0,7,15211,3,4
4,3,95207,2,4
4,7,55313,1,4
0,5,15226,2,4
4,7,43123,2,4
0,6,33139,2,5
0,7,53122,1,5
0,6,89011,1,5
4,8,15301,1,5
0,7,17078,3,5
5,7,33713,1,5
0,7,7924,1,5
1,7,8831,1,5
4,7,8054,3,5
1,7,8831,1,5
5,6,98360,3,5
2,6,92335,3,5
0,7,90808,1,5
0,6,90706,1,5
0,4,91710,5,5
0,4,91710,4,5
0,7,92107,1,5
6,7,93455,1,5
3,6,7035,1,5
6,5,7470,1,5
1,5,92806,2,5
0,5,2038,2,5
0,6,70117,1,5
6,3,44256,4,5
0,6,18018,1,5
4,5,53968,1,5
0,5,12180,4,5
4,6,98580,1,5
1,6,38771,3,5
0,6,7712,1,5
3,4,38106,1,5
6,6,0,2,5
0,8,10314,3,5
3,7,15136,1,5
0,7,15206,1,5
4,7,53073,2,5
0,7,15905,1,5
4,6,21244,2,5
1,4,19115,1,5
4,8,15301,2,5
4,7,85737,3,5
2,6,53202,1,5
6,8,23185,2,5
4,6,85028,1,5
2,8,15206,2,5
2,5,16066,1,5
1,7,16226,1,5
6,5,16635,5,5
5,8,67002,1,5
1,6,38771,1,5
0,8,28031,1,5
1,5,15210,3,5
3,7,47720,1,5
1,5,15235,1,5
3,7,15136,1,5
3,4,16428,2,5
6,7,22308,4,5
6,5,23325,3,5
1,6,15215,1,5
2,8,15206,1,5
6,6,60448,1,5
1,3,15666,3,5
6,6,15101,1,5
1,3,15235,1,5
3,6,44514,1,5
6,5,37748,1,5
6,8,23185,2,5
0,5,15201,1,5
6,6,15203,3,5
0,8,10314,3,5
3,4,7018,1,5
6,4,8753,1,5
6,6,7920,1,5
6,8,34684,2,5
3,6,21009,1,5
5,6,19802,1,5
5,8,61704,3,5
0,7,8501,1,5
3,6,19137,1,5
1,6,19063,3,5
1,7,18064,3,5
6,7,8053,1,5
1,5,89408,3,5
0,8,33027,3,5
0,6,95757,3,5
4,5,96813,2,5
6,7,15668,1,5
0,7,15237,2,5
5,8,15222,1,5
5,8,98144,1,5
0,7,16154,1,5
4,7,15228,1,5
3,7,15243,1,5
5,7,15108,1,5
4,7,15642,1,5
5,7,15201,1,5
3,8,15227,1,5
6,7,15228,1,5
5,7,15226,1,5
0,7,15061,1,5
4,7,15206,1,5
3,8,15243,1,5
0,8,16412,1,5
5,7,15143,1,5
6,7,16335,1,5
3,7,15071,1,5
0,7,16105,1,5
0,7,15044,1,5
6,8,15243,1,5
4,8,15241,1,5
0,6,15613,2,5
2,6,77833,2,5
6,8,15243,1,5
3,7,15301,1,5
0,7,15102,1,5
5,8,7461,1,5
6,8,85281,1,5
0,8,85281,2,5
4,7,49534,1,5
4,8,85281,1,5
6,8,85281,1,5
0,7,85281,2,5
5,4,46342,1,5
6,8,60010,1,5
0,7,60805,1,5
5,7,60618,1,5
4,6,15066,1,5
4,6,46112,3,5
3,4,35226,4,5
3,7,85381,1,5
5,7,85281,1,5
6,8,85288,1,5
0,8,85281,1,5
6,8,85288,1,5
6,8,85281,2,5
6,8,85281,1,5
6,8,85281,1,5
4,5,27105,1,5
0,5,28144,1,5
6,5,30011,5,5
2,6,45458,1,5
5,7,623,6,5
0,6,38771,2,5
4,7,44057,3,5
5,6,85745,3,5
0,5,33647,2,5
3,7,27811,2,5
1,4,85355,1,5
4,8,37027,2,5
4,8,37027,2,5
4,8,15241,1,5
5,6,63368,1,5
4,7,55313,2,5
6,5,78009,1,5
6,6,27527,3,5
3,4,47358,2,4
5,1,60173,1,4
6,5,91915,1,5
1,7,22101,2,5
0,6,8051,1,5
0,3,20194,1,5
0,6,32141,1,5
2,6,15212,2,5
0,4,18504,2,5
4,6,15236,3,5
6,4,1776,2,5
2,6,8088,4,5
6,8,15203,5,5
6,8,85281,3,5
2,6,66956,1,5
2,2,2356,2,5
0,2,63119,2,5
3,6,60804,1,5
6,4,60053,1,5
6,5,60515,1,5
5,7,60615,1,5
0,6,7960,2,5
0,2,93305,6,5
3,3,60016,1,5
1,4,43952,3,5
6,3,15122,1,6
4,4,15068,1,6
1,3,15010,2,6
5,4,23188,1,6
6,6,19610,1,6
6,7,77573,1,6
4,4,98105,3,6
2,3,92617,1,6
5,7,33706,2,6
6,5,98005,2,6
1,3,67101,3,6
5,4,15147,2,6
5,6,8816,1,6
6,5,8840,1,6
4,7,8691,3,6
0,7,7460,4,6
0,3,8902,1,6
5,5,8889,5,6
6,6,20744,1,6
0,5,7834,3,6
6,5,8318,3,6
3,4,7003,1,6
6,3,8033,1,6
0,5,7444,6,6
0,5,92647,3,6
6,5,7307,1,6
3,6,15102,6,6
0,4,92336,1,6
3,2,91706,1,6
6,6,92009,1,6
2,6,33709,3,6
3,7,90631,2,6
6,5,72205,1,6
3,6,98201,2,6
0,6,93309,1,6
3,5,90805,1,6
4,6,91367,2,6
1,5,92336,2,6
6,6,17033,1,6
5,7,91504,1,6
4,6,7737,2,6
4,7,91367,1,6
3,2,30141,1,6
5,5,90715,1,6
0,5,92301,1,6
5,5,91704,1,6
3,5,7753,3,6
4,4,73102,1,6
4,2,7039,3,6
6,7,8757,1,6
0,6,7421,1,6
5,6,7716,3,6
4,6,8755,3,6
1,3,92078,4,6
5,7,15206,1,6
4,3,19103,1,6
6,6,7417,5,6
6,6,7950,2,6
6,5,72205,1,6
0,4,48001,3,6
5,4,56340,3,6
6,4,81147,2,6
6,4,8230,1,6
4,4,8873,1,6
5,5,32750,3,6
2,3,35401,1,6
3,4,37203,1,6
3,4,7039,6,6
1,7,30044,1,6
5,7,7036,1,6
1,4,7920,1,6
2,3,15206,2,6
5,4,30907,1,6
3,7,97471,1,6
5,6,44146,1,6
3,5,75090,1,6
1,6,95204,1,6
5,3,45069,1,6
3,4,7109,1,6
2,3,94043,6,6
6,6,95045,1,6
4,4,12203,3,6
6,5,94127,1,6
5,4,95340,1,6
3,4,10701,2,6
0,6,60103,1,6
0,6,1862,1,6
4,3,30318,2,6
0,3,16002,3,6
3,7,28217,2,6
6,6,15905,1,6
5,5,16509,1,6
4,4,12047,1,6
1,4,32132,3,6
1,4,17403,1,6
6,4,80210,2,6
4,6,1852,2,6
4,6,49426,1,6
6,4,15120,1,6
5,7,94951,1,6
2,5,48187,3,6
4,4,12203,2,6
6,7,15122,1,6
6,6,15024,3,6
5,3,22314,1,6
5,8,19027,1,6
4,4,3055,1,6
4,6,65201,1,6
5,6,1077,1,6
6,6,21060,1,6
2,6,15211,1,6
3,5,77498,1,6
6,6,15137,1,6
4,2,8225,3,6
5,8,8046,1,6
0,4,8854,1,6
3,3,6040,1,6
5,4,7018,2,6
5,4,8619,3,6
0,2,6415,2,6
0,6,1776,3,6
4,2,8066,1,6
5,4,8825,3,6
5,5,19440,5,6
0,3,7030,1,6
3,4,11554,2,6
1,4,7663,3,6
3,5,10003,1,6
1,3,11201,1,6
3,3,11249,1,6
0,3,11358,2,6
5,4,7922,4,6
6,6,87122,2,6
0,4,18067,1,6
0,6,19476,1,6
0,2,11754,3,6
5,6,10472,1,6
6,3,3064,1,6
0,3,11691,4,6
3,4,8861,1,6
2,2,8057,3,6
3,4,7666,4,6
6,4,10901,1,6
4,6,19115,1,6
0,5,19124,3,6
5,4,15147,2,6
0,3,11691,3,6
6,6,22407,3,6
5,7,65201,1,6
5,5,98465,1,6
1,2,43201,2,6
2,4,85635,3,6
6,7,20715,4,6
6,2,15216,3,6
1,5,29440,3,6
5,4,30324,1,6
6,6,20852,1,6
0,7,15217,1,6
5,7,15071,1,6
2,7,15217,1,6
6,7,15217,1,6
3,7,15853,1,6
5,7,15217,1,6
6,7,15632,1,6
0,8,15228,1,6
3,7,15217,1,6
2,8,94043,3,6
3,7,15642,1,6
0,7,15235,1,6
4,6,80123,1,6
3,7,15136,2,6
0,4,15217,3,6
6,1,15217,3,6
6,7,85283,1,6
0,5,98195,1,6
4,5,54703,1,6
2,6,61104,1,6
6,5,60124,1,6
6,5,15613,1,6
2,5,60629,1,6
0,7,60056,1,6
4,5,53530,1,6
0,3,60616,1,6
4,7,60201,1,6
1,4,61341,1,6
6,6,60510,1,6
1,2,98005,2,6
6,2,10027,1,6
0,6,60563,1,6
2,3,32304,1,6
2,7,0,1,6
4,4,53536,1,6
2,3,91352,3,6
4,4,60046,3,6
6,5,60515,2,6
6,5,60515,1,6
5,3,60302,1,6
3,5,60119,1,6
0,6,63368,1,6
5,7,60439,3,6
5,3,60410,4,6
3,7,60193,3,6
6,7,53207,1,6
4,4,60455,1,6
5,4,60181,4,6
6,1,60615,2,6
5,4,60124,3,6
4,6,0,1,6
4,2,60954,1,6
5,4,60173,3,6
0,2,1603,1,6
1,2,80907,2,6
2,2,15206,4,6
4,2,19096,5,6
1,2,15213,4,6
5,4,74136,2,6
3,7,28144,2,6
4,6,90044,2,6
1,6,92543,1,6
6,6,23185,1,6
3,7,63136,2,6
0,3,84096,3,6
6,7,53122,4,6
5,4,97233,1,6
2,4,85282,1,6
2,3,36804,2,6
3,3,85716,1,6
2,3,80026,1,6
6,8,71261,1,6
6,8,71261,1,6
2,5,15216,1,6
0,6,15613,4,6
3,7,55313,1,6
0,4,75063,1,6
3,6,15012,1,6
0,5,55113,6,6
0,5,55126,4,6
1,4,15090,1,6
0,3,21206,1,6
0,3,15044,3,6
2,6,15208,1,6
4,3,16701,1,6
3,6,8876,3,0
0,6,60565,1,0
0,2,7852,4,1
3,7,15131,1,1
6,7,60012,4,1
0,6,20777,3,2
4,7,8857,3,2
0,7,15146,3,2
0,7,15033,1,2
6,7,0,2,4
4,7,60805,1,4
2,7,60640,5,4
0,5,33193,1,3
2,7,15001,1,5
3,6,97479,1,1
0,8,97527,1,1
4,6,29710,1,1
3,7,8831,2,3
6,8,7461,1,4
2,6,15220,1,5
4,8,85281,2,4
0,7,63136,4,4
2,6,16301,3,5
5,7,92234,1,5
0,7,15216,1,5
0,8,92656,2,5
1,4,60016,1,5
0,5,97470,1,5
6,5,22630,1,6
0,2,7747,3,6
6,7,89120,2,6
3,5,10310,4,6
6,3,94402,1,6
3,4,28078,1,6
3,7,36805,2,6
